gene	gene_id	scaffold	auxiliary_score	amg_flags	gene_description	module	sheet	header	subheader	potential_amg	gene_id_origin	metabolism	reference	verified
WATLvirus_00271562-cat_1_17	PF04321	WATLvirus_00271562-cat_1	1	MK	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00271562-cat_1_21	PF00132	WATLvirus_00271562-cat_1	1	MK	Bacterial transferase hexapeptide (six repeats)						amg_database		Roux et al. 2016	False
WATLvirus_00271562-cat_1_26	PF03446	WATLvirus_00271562-cat_1	1	MK	NAD binding domain of 6-phosphogluconate dehydrogenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00271562-cat_1_26	PF03721	WATLvirus_00271562-cat_1	1	MK	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00271562-cat_1_26	PF00984	WATLvirus_00271562-cat_1	1	MK	UDP-glucose/GDP-mannose dehydrogenase family, central domain						amg_database		Roux et al. 2016	False
WATLvirus_00271562-cat_1_32	PF13385	WATLvirus_00271562-cat_1	1	MK	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00271566-cat_1_28	PF03567	WATLvirus_00271566-cat_1	2	MK	Sulfotransferase family						amg_database		Roux et al. 2016	False
WATLvirus_00271571-cat_1_34	PF13385	WATLvirus_00271571-cat_1	2	MK	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00272019-cat_2_3	PF01242	WATLvirus_00272019-cat_2	3	MKF	6-pyruvoyl tetrahydropterin synthase						amg_database		Roux et al. 2016	False
WATLvirus_00272019-cat_2_4	PF01227	WATLvirus_00272019-cat_2	3	MKF	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00272031-cat_1_10	PF02867	WATLvirus_00272031-cat_1	2	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272052-cat_1_4	PF00301	WATLvirus_00272052-cat_1	2	MKF	Rubredoxin						amg_database	M	Roux et al. 2016	False
WATLvirus_00272066-cat_1_4	PF00534	WATLvirus_00272066-cat_1	1	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272067-cat_1_2	PF01370	WATLvirus_00272067-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272067-cat_1_2	PF04321	WATLvirus_00272067-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272079-cat_2_9	PF13640	WATLvirus_00272079-cat_2	3	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00272079-cat_2_15	PF13640	WATLvirus_00272079-cat_2	3	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00272090-cat_2_2	PF02562	WATLvirus_00272090-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272090-cat_2_2	K06217	WATLvirus_00272090-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272092-cat_2_2	PF01073	WATLvirus_00272092-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00272092-cat_2_2	PF01370	WATLvirus_00272092-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272092-cat_2_2	PF04321	WATLvirus_00272092-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272114-cat_1_4	PF13385	WATLvirus_00272114-cat_1	2	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00272127-cat_1_6	PF00534	WATLvirus_00272127-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272127-cat_1_8	PF01073	WATLvirus_00272127-cat_1	2	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00272127-cat_1_8	PF01370	WATLvirus_00272127-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272127-cat_1_8	PF04321	WATLvirus_00272127-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272134-cat_2_5	PF00984	WATLvirus_00272134-cat_2	3	MKF	UDP-glucose/GDP-mannose dehydrogenase family, central domain						amg_database		Roux et al. 2016	False
WATLvirus_00272138-cat_2_8	PF01408	WATLvirus_00272138-cat_2	3	MKF	Oxidoreductase family, NAD-binding Rossmann fold						amg_database		Roux et al. 2016	False
WATLvirus_00272141-cat_1_7	PF00534	WATLvirus_00272141-cat_1	1	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272170-cat_1_3	PF02672	WATLvirus_00272170-cat_1	1	MKEF	cp12, calvin cycle protein inhibitor	M00006					amg_database		Thompson et al. 2011	True
WATLvirus_00272172-cat_2_4	PF02562	WATLvirus_00272172-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272172-cat_2_4	K06217	WATLvirus_00272172-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272204-cat_2_2	PF02867	WATLvirus_00272204-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272204-cat_2_2	PF00317	WATLvirus_00272204-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272204-cat_2_2	EC:1.17.4.1	WATLvirus_00272204-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272204-cat_2_2	K00525	WATLvirus_00272204-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272204-cat_2_6	PF03567	WATLvirus_00272204-cat_2	3	MKF	Sulfotransferase family						amg_database		Roux et al. 2016	False
WATLvirus_00272208-cat_1_4	PF01073	WATLvirus_00272208-cat_1	2	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00272208-cat_1_4	PF01370	WATLvirus_00272208-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272208-cat_1_4	PF04321	WATLvirus_00272208-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272209-cat_2_4	PF01073	WATLvirus_00272209-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00272209-cat_2_4	PF01370	WATLvirus_00272209-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272209-cat_2_4	PF04321	WATLvirus_00272209-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272225-cat_1_8	PF04488	WATLvirus_00272225-cat_1	2	MKF	Glycosyltransferase sugar-binding region containing DXD motif						amg_database		Roux et al. 2016	False
WATLvirus_00272285-cat_1_8	PF13385	WATLvirus_00272285-cat_1	2	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00272296-cat_2_10	PF02867	WATLvirus_00272296-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272296-cat_2_10	EC:1.17.4.1	WATLvirus_00272296-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272296-cat_2_10	K00525	WATLvirus_00272296-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272298-cat_2_8	PF13640	WATLvirus_00272298-cat_2	3	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00272302-cat_1_6	PF00534	WATLvirus_00272302-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272306-cat_1_4	PF00534	WATLvirus_00272306-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272313-cat_1_9	PF04095	WATLvirus_00272313-cat_1	2	MKF	Nicotinate phosphoribosyltransferase (NAPRTase) family						amg_database		Roux et al. 2016	False
WATLvirus_00272313-cat_1_11	PF01467	WATLvirus_00272313-cat_1	2	MKF	Cytidylyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00272322-cat_1_2	PF01370	WATLvirus_00272322-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272322-cat_1_2	PF04321	WATLvirus_00272322-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272353-cat_1_2	PF02562	WATLvirus_00272353-cat_1	2	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272353-cat_1_2	K06217	WATLvirus_00272353-cat_1	2	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272355-cat_2_2	PF00534	WATLvirus_00272355-cat_2	3	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272391-cat_1_9	PF01073	WATLvirus_00272391-cat_1	2	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00272391-cat_1_9	PF01370	WATLvirus_00272391-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272391-cat_1_9	PF04321	WATLvirus_00272391-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272393-cat_2_4	PF02562	WATLvirus_00272393-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272430-cat_1_5	PF01073	WATLvirus_00272430-cat_1	2	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00272430-cat_1_5	PF01370	WATLvirus_00272430-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272430-cat_1_5	PF04321	WATLvirus_00272430-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272430-cat_1_8	PF01227	WATLvirus_00272430-cat_1	2	MKF	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00272434-cat_1_5	PF01073	WATLvirus_00272434-cat_1	2	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00272434-cat_1_5	PF01370	WATLvirus_00272434-cat_1	2	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272434-cat_1_5	PF04321	WATLvirus_00272434-cat_1	2	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272434-cat_1_8	PF01227	WATLvirus_00272434-cat_1	2	MKF	GTP cyclohydrolase I						amg_database		Roux et al. 2016	False
WATLvirus_00272446-cat_2_2	PF02675	WATLvirus_00272446-cat_2	3	MKF	speD; S-adenosylmethionine decarboxylase						amg_database		Sullivan et al. 2005; Ignacio?Espinoza et al. 2012; Hurwitz et al. 2015; Roux et al. 2016	False
WATLvirus_00272446-cat_2_3	PF00534	WATLvirus_00272446-cat_2	3	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272458-cat_2_5	PF02867	WATLvirus_00272458-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272458-cat_2_5	EC:1.17.4.1	WATLvirus_00272458-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272458-cat_2_5	K00525	WATLvirus_00272458-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272472-cat_1_4	PF00534	WATLvirus_00272472-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272510-cat_2_6	PF02867	WATLvirus_00272510-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272510-cat_2_6	PF00317	WATLvirus_00272510-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272510-cat_2_6	EC:1.17.4.1	WATLvirus_00272510-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272510-cat_2_6	K00525	WATLvirus_00272510-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272529-cat_1_4	PF02562	WATLvirus_00272529-cat_1	2	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272549-cat_2_9	PF02562	WATLvirus_00272549-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272549-cat_2_9	K06217	WATLvirus_00272549-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00272552-cat_1_3	PF13640	WATLvirus_00272552-cat_1	2	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00272552-cat_1_7	PF13640	WATLvirus_00272552-cat_1	2	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00272568-cat_2_2	PF01370	WATLvirus_00272568-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272568-cat_2_2	PF04321	WATLvirus_00272568-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272568-cat_2_5	PF01370	WATLvirus_00272568-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272568-cat_2_5	PF04321	WATLvirus_00272568-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00272571-cat_2_7	PF01370	WATLvirus_00272571-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00272600-cat_1_2	PF01242	WATLvirus_00272600-cat_1	2	MKF	6-pyruvoyl tetrahydropterin synthase						amg_database		Roux et al. 2016	False
WATLvirus_00272645-cat_1_8	PF03567	WATLvirus_00272645-cat_1	2	MKF	Sulfotransferase family						amg_database		Roux et al. 2016	False
WATLvirus_00272664-cat_2_5	PF02867	WATLvirus_00272664-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272664-cat_2_5	PF00317	WATLvirus_00272664-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272664-cat_2_5	EC:1.17.4.1	WATLvirus_00272664-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272664-cat_2_5	K00525	WATLvirus_00272664-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272666-cat_1_6	PF13640	WATLvirus_00272666-cat_1	2	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00272691-cat_1_5	PF04488	WATLvirus_00272691-cat_1	2	MKF	Glycosyltransferase sugar-binding region containing DXD motif						amg_database		Roux et al. 2016	False
WATLvirus_00272695-cat_2_4	PF02867	WATLvirus_00272695-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272722-cat_1_2	PF00534	WATLvirus_00272722-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272807-cat_2_6	PF02867	WATLvirus_00272807-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00272814-cat_2_4	PF01048	WATLvirus_00272814-cat_2	3	MKF	Phosphorylase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00272821-cat_2_6	PF01832	WATLvirus_00272821-cat_2	3	MKF	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase						amg_database		Roux et al. 2016	False
WATLvirus_00272828-cat_2_8	PF01734	WATLvirus_00272828-cat_2	3	MKF	Patatin-like phospholipase						amg_database		Roux et al. 2016	False
WATLvirus_00272847-cat_1_4	PF01467	WATLvirus_00272847-cat_1	2	MKF	Cytidylyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00272847-cat_1_4	PF01050	WATLvirus_00272847-cat_1	2	MKF	manA; mannose-6-phosphate isomerase						amg_database	M	Roux et al. 2016; Hurwitz et al. 2015	False
WATLvirus_00272847-cat_1_5	PF13759	WATLvirus_00272847-cat_1	2	MKF	Putative 2OG-Fe(II) oxygenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00272849-cat_2_13	PF01503	WATLvirus_00272849-cat_2	3	MKF	Phosphoribosyl-ATP pyrophosphohydrolase						amg_database	M	Roux et al. 2016	False
WATLvirus_00272858-cat_1_6	PF01467	WATLvirus_00272858-cat_1	2	MKF	Cytidylyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00272871-cat_1_6	PF00534	WATLvirus_00272871-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272922-cat_1_10	PF00534	WATLvirus_00272922-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00272931-cat_1_11	PF13385	WATLvirus_00272931-cat_1	2	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00273007-cat_2_3	PF13640	WATLvirus_00273007-cat_2	3	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00273036-cat_2_5	PF02867	WATLvirus_00273036-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273036-cat_2_5	PF00317	WATLvirus_00273036-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273036-cat_2_5	EC:1.17.4.1	WATLvirus_00273036-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273036-cat_2_5	K00525	WATLvirus_00273036-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273070-cat_1_2	PF13759	WATLvirus_00273070-cat_1	2	MKF	Putative 2OG-Fe(II) oxygenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00273070-cat_1_4	PF13759	WATLvirus_00273070-cat_1	2	MKF	Putative 2OG-Fe(II) oxygenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00273076-cat_2_5	PF13759	WATLvirus_00273076-cat_2	3	MKF	Putative 2OG-Fe(II) oxygenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00273089-cat_1_3	PF13385	WATLvirus_00273089-cat_1	3	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00273095-cat_1_2	PF00534	WATLvirus_00273095-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00273132-cat_2_2	PF02562	WATLvirus_00273132-cat_2	3	MKF	phoH; phosphate starvation-inducible protein						amg_database		Zeng et al. 2012; Sullivan et al. 2005	False
WATLvirus_00273145-cat_2_4	PF03567	WATLvirus_00273145-cat_2	3	MKF	Sulfotransferase family						amg_database		Roux et al. 2016	False
WATLvirus_00273167-cat_2_8	PF13385	WATLvirus_00273167-cat_2	3	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00273199-cat_1_4	PF00551	WATLvirus_00273199-cat_1	2	MKF	Formyl transferase						amg_database	M	Roux et al. 2016	False
WATLvirus_00273289-cat_2_5	PF02867	WATLvirus_00273289-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273289-cat_2_5	PF00317	WATLvirus_00273289-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273289-cat_2_5	EC:1.17.4.1	WATLvirus_00273289-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273289-cat_2_5	K00525	WATLvirus_00273289-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273350-cat_2_2	PF01073	WATLvirus_00273350-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00273350-cat_2_2	PF01370	WATLvirus_00273350-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00273350-cat_2_2	PF04321	WATLvirus_00273350-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00273350-cat_2_3	PF01370	WATLvirus_00273350-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00273350-cat_2_3	PF04321	WATLvirus_00273350-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00273397-cat_1_3	PF13385	WATLvirus_00273397-cat_1	2	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
WATLvirus_00273402-cat_2_2	PF01073	WATLvirus_00273402-cat_2	3	MKF	3-beta hydroxysteroid dehydrogenase/isomerase family						amg_database	M	Roux et al. 2016	False
WATLvirus_00273402-cat_2_2	PF01370	WATLvirus_00273402-cat_2	3	MKF	NAD dependent epimerase/dehydratase family						amg_database		Roux et al. 2016	False
WATLvirus_00273402-cat_2_2	PF04321	WATLvirus_00273402-cat_2	3	MKF	RmlD substrate binding domain						amg_database		Roux et al. 2016	False
WATLvirus_00273463-cat_1_4	PF02675	WATLvirus_00273463-cat_1	2	MKF	speD; S-adenosylmethionine decarboxylase						amg_database		Sullivan et al. 2005; Ignacio?Espinoza et al. 2012; Hurwitz et al. 2015; Roux et al. 2016	False
WATLvirus_00273466-cat_2_4	PF13640	WATLvirus_00273466-cat_2	3	MKF	2OG-Fe(II) oxygenase superfamily						amg_database	M	Roux et al. 2016	False
WATLvirus_00273479-cat_2_5	PF02867	WATLvirus_00273479-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273479-cat_2_5	EC:1.17.4.1	WATLvirus_00273479-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273479-cat_2_5	K00525	WATLvirus_00273479-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273491-cat_1_5	EC:1.17.4.1	WATLvirus_00273491-cat_1	2	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273505-cat_2_3	PF06508	WATLvirus_00273505-cat_2	3	MKF	Queuosine biosynthesis protein QueC						amg_database		Roux et al. 2016	False
WATLvirus_00273520-cat_2_4	PF01503	WATLvirus_00273520-cat_2	3	MKF	Phosphoribosyl-ATP pyrophosphohydrolase						amg_database	M	Roux et al. 2016	False
WATLvirus_00273534-cat_2_5	PF02867	WATLvirus_00273534-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273534-cat_2_5	PF00317	WATLvirus_00273534-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273534-cat_2_5	EC:1.17.4.1	WATLvirus_00273534-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273534-cat_2_5	K00525	WATLvirus_00273534-cat_2	3	MKEF	nrdA/nrdB; ribonucleotide reductase (RNR)	M00053					amg_database		Thompson et al. 2011; Sullivan et al. 2005	True
WATLvirus_00273712-cat_1_4	PF00534	WATLvirus_00273712-cat_1	2	MKF	Glycosyl transferases group 1						amg_database		Roux et al. 2016	False
WATLvirus_00273743-cat_2_4	PF13759	WATLvirus_00273743-cat_2	3	MKF	Putative 2OG-Fe(II) oxygenase						amg_database	M	Roux et al. 2016	False
WATLvirus_00273820-cat_2_3	PF02543	WATLvirus_00273820-cat_2	3	MKF	Carbamoyltransferase						amg_database		Roux et al. 2016	False
WATLvirus_00273821-cat_2_3	PF06339	WATLvirus_00273821-cat_2	3	MKF	Ectoine synthase						amg_database	M	Roux et al. 2016	False
WATLvirus_00273865-cat_1_3	PF13385	WATLvirus_00273865-cat_1	1	MKF	Concanavalin A-like lectin; extracellular arabinase						amg_database		Emerson et al. 2018	False
