bin,completeness,contamination,strain_heterogeneity,length,N50,drep_cluster,drep_winner,gtdb_classification,ncbi_classification
220808_BK_F14_DNA_hard_red_bin.4,56.78,2.17,0,2936375,5578,489_0,220808_BK_F14_DNA_hard_red_bin.4,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Rhodovibrionaceae;g__Rhodovibrio;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Rhodovibrio;s__
220808_BK_F14_DNA_hard_red_bin.40,46.26,0.43,0,1677102,4605,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Rhodovibrionaceae;g__Rhodovibrio;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhodovibrionaceae;g__Rhodovibrio;s__
220808_BK_F14_DNA_hard_red_bin.41,56.9,15.28,65.22,3438540,7267,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__Fodinibius;s__,d__Bacteria;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__Aliifodinibius;s__
220808_BK_F14_DNA_hard_red_bin.42,84.95,1.69,20,2354423,7709,541_0,220808_BK_F14_DNA_hard_red_bin.42,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__JAIPDU01;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__
220808_BK_F14_DNA_hard_red_bin.43,60.25,0.6,0,1702215,6288,484_1,220811_MW_F14_DNA_sed_A_bin.6,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Dichotomicrobium;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Dichotomicrobium;s__
220808_BK_F14_DNA_hard_red_bin.45,65.11,0.4,0,1957399,5996,487_0,220808_BK_F14_DNA_hard_red_bin.45,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Dichotomicrobium;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Dichotomicrobium;s__
220808_BK_F14_DNA_hard_red_bin.47,19.33,0,0,599606,3280,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__CAJXLG01;g__;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.48,99.77,213.74,5.27,10580917,8735,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Salinirussus;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Salinirussus;s__
220808_BK_F14_DNA_hard_red_bin.5,37.85,6.54,44.44,1304042,5633,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__;g__;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.51,6.03,0,0,271641,3401,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_hard_red_bin.53,23.67,0,0,656319,3351,NA,NA,d__Bacteria;p__T1Sed10-126;c__T1Sed10-126;o__T1Sed10-126;f__;g__;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.54,22,1.1,0,579263,3271,NA,NA,d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__;s__,d__Bacteria;p__Candidatus Fermentibacteria;c__;o__;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.55,93.02,1.74,0,4193775,150797,245_0,220808_BK_F14_DNA_hard_red_bin.55,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.56,93.08,5.58,50,4206606,20587,257_0,220808_BK_F14_DNA_hard_red_bin.56,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Salinibacter;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.57,31.93,0,0,777027,3353,NA,NA,d__Bacteria;p__Planctomycetota;c__Brocadiia;o__SM23-32;f__SM23-32;g__;s__,d__Bacteria;p__Planctomycetes;c__Candidatus Brocadiia;o__Candidatus Brocadiales;f__Candidatus Brocadiaceae;g__;s__
220808_BK_F14_DNA_hard_red_bin.58,90.05,3.22,0,3302523,12850,490_1,220808_BK_F14_DNA_hard_red_bin.58,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__XJ16;f__Halofilaceae;g__Halofilum;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__Halofilum;s__
220808_BK_F14_DNA_hard_red_bin.59,76.07,7.68,5.56,3147622,5318,492_0,220808_BK_F14_DNA_hard_red_bin.59,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA5335;f__UBA5335;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.6,34.97,2.85,50,853328,3706,NA,NA,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA1429;f__UBA1429;g__;s__,d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.60,22.43,1.87,50,626233,3545,NA,NA,Unclassified Archaea,Unclassified Archaea
220808_BK_F14_DNA_hard_red_bin.61,60.34,1.66,57.14,1413388,4998,511_0,220808_BK_F14_DNA_hard_red_bin.61,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__Methylohalomonas;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__Methylohalomonas;s__
220808_BK_F14_DNA_hard_red_bin.62,68.38,0.93,0,558728,5614,81_0,220808_BK_F14_DNA_hard_red_bin.62,d__Archaea;p__Nanohaloarchaeota;c__Nanosalinia;o__Nanosalinales;f__JALIDP01;g__JALIDP01;s__,d__Archaea;p__Candidatus Nanohaloarchaeota;c__;o__;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.7,12.15,0,0,395725,3140,NA,NA,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__QS-5-70-15;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__;g__;s__
220808_BK_F14_DNA_hard_red_bin.8,6.9,0,0,631257,3403,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_hard_red_bin.9,0,0,0,315065,116796,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.1,92.49,3.3,0,4554104,36790,347_1,220808_BK_F14_DNA_mat_black_1_bin.1,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.11,12.07,0,0,1050145,1959,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.13,90.55,0.91,28.57,2842458,16653,478_1,220816_LF_B4_DNA_brine_C_bin.6,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salibaculum;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Salibaculum;s__
220808_BK_F14_DNA_mat_black_1_bin.14,77.08,1.7,0,3213947,7680,217_1,220808_BK_F14_DNA_mat_black_2_bin.52,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.15,39.59,5.17,0,1813708,2747,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.16,13.5,0,0,647947,3264,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.17,86.43,3.48,35.71,3035470,20566,312_0,220808_BK_F14_DNA_mat_black_1_bin.17,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Spongiibacteraceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.18,9.48,0,0,535257,2794,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.19,70.18,1.96,11.11,1858601,7598,412_0,220808_BK_F14_DNA_mat_black_1_bin.19,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteriqipengyuania_A;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;s__
220808_BK_F14_DNA_mat_black_1_bin.20,67.52,16.72,0,3909470,3450,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__UBA7441;s__,d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.21,18.73,0,0,1781908,1814,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Tc-Br11-B2g6-7;s__,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.22,37.93,0.86,0,2924108,6453,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.23,84.51,11.31,5.26,3995667,6230,NA,NA,d__Bacteria;p__Planctomycetota;c__UBA11346;o__UBA11346;f__UBA11346;g__;s__,d__Bacteria;p__Planctomycetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.24,25.86,0.86,100,1685509,7162,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.26,4.17,0,0,786277,2860,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.29,92.26,1.24,66.67,2531351,113912,414_1,220808_BK_F14_DNA_mat_black_1_bin.29,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__
220808_BK_F14_DNA_mat_black_1_bin.3,98.09,81.15,3.45,7996599,11187,NA,NA,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__;g__;s__,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.30,10.34,0,0,1038137,3200,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Maricaulales;f__Maricaulaceae;g__Oceanicaulis;s__
220808_BK_F14_DNA_mat_black_1_bin.32,89.74,2.97,42.86,3376874,15325,233_1,220808_BK_F14_DNA_mat_dualtone_bin.35,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__Tc-Br11-B2g6-7;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.34,71.67,15.99,25.58,3795904,4418,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__JAKVAV01;s__,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.35,25.39,0.55,0,835757,2017,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Roseovarius;s__
220808_BK_F14_DNA_mat_black_1_bin.36,23.28,0.55,100,1216185,3312,NA,NA,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__RSA9;g__JAHWKI01;s__,d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.37,2.39,0.48,0,529900,2717,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.38,13.87,0,0,1961660,4404,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__JAKVAV01;s__,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.39,51.85,2.05,0,3375871,4040,363_0,220808_BK_F14_DNA_mat_black_1_bin.39,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.4,12.27,0.2,0,830797,2970,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.40,15.13,1.72,0,1583870,1683,NA,NA,d__Bacteria;p__;c__;o__;f__;g__;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.41,80.22,0.79,0,2468722,7940,11_1,220808_BK_F14_DNA_brine_C_bin.4,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.42,93.22,3.3,0,3877107,14930,346_1,220808_BK_F14_DNA_mat_black_1_bin.42,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.43,4.17,0,0,334423,2875,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.45,16.49,0.07,0,807192,2912,NA,NA,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Trueperales;f__Trueperaceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.47,17.83,0,0,624047,4883,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.48,89.32,0.34,100,3979570,7146,526_0,220808_BK_F14_DNA_mat_black_1_bin.48,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__,d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.5,4.17,0,0,273937,2965,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_1_bin.51,91.77,1.73,33.33,3346898,10729,457_1,220811_MW_F14_DNA_Brine_C_bin.19,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Marivita;s__
220808_BK_F14_DNA_mat_black_1_bin.53,74.76,0,0,2296028,5749,333_0,220808_BK_F14_DNA_mat_black_1_bin.53,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JACKHF01;s__,d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.54,55.28,2.97,5.26,1820008,4194,407_0,220808_BK_F14_DNA_mat_black_1_bin.54,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__
220808_BK_F14_DNA_mat_black_1_bin.55,88.72,2.38,8,3347275,18664,428_1,220808_BK_F14_DNA_mat_black_1_bin.55,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseitranquillus;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseitranquillus;s__
220808_BK_F14_DNA_mat_black_1_bin.56,33.61,10.62,25,2793608,3604,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.57,51.47,0,0,2364405,4143,239_0,220808_BK_F14_DNA_mat_black_1_bin.57,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.6,85.58,2.66,50,1889423,7733,164_1,220808_BK_F13_DNA_brine_C_bin.4,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__
220808_BK_F14_DNA_mat_black_1_bin.7,37.95,6.66,0,1870516,1874,NA,NA,d__Bacteria;p__J088;c__;o__;f__;g__;s__,d__Bacteria;p__Candidatus Dadabacteria;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_1_bin.8,86.22,2.68,58.33,3016847,10711,427_1,220808_BK_F14_DNA_mat_black_1_bin.8,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jannaschia;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Jannaschia;s__
220808_BK_F14_DNA_mat_black_1_bin.9,78.34,62.61,0,7468836,1519,NA,NA,d__Bacteria;p__;c__;o__;f__;g__;s__,d__Bacteria;p__;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.1,0,0,0,322356,4567,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.10,4.17,0,0,649117,3693,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__
220808_BK_F14_DNA_mat_black_2_bin.11,95.34,4.4,0,4485721,29936,347_1,220808_BK_F14_DNA_mat_black_1_bin.1,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.12,48.59,4.31,0,3666857,3107,NA,NA,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__Candidatus Competibacteraceae;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.13,48.15,4.97,12.5,2886379,3511,NA,NA,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__,d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.14,78.66,10.88,3.85,3837831,6651,NA,NA,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__JAKVAV01;s__,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.16,67.97,3.3,0,2708890,5207,346_1,220808_BK_F14_DNA_mat_black_1_bin.42,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Longimicrobiales;f__UBA6960;g__;s__,d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.19,50.67,0.66,0,1703936,4465,11_1,220808_BK_F14_DNA_brine_C_bin.4,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.21,76.14,7.84,13.33,3616402,7700,429_0,220808_BK_F14_DNA_mat_black_2_bin.21,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HKCCE3408;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.23,26.04,2.94,0,1868216,1572,NA,NA,d__Bacteria;p__J088;c__;o__;f__;g__;s__,d__Bacteria;p__Candidatus Dadabacteria;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.24,85.95,3.45,0,3225632,21651,428_1,220808_BK_F14_DNA_mat_black_1_bin.55,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseitranquillus;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseitranquillus;s__
220808_BK_F14_DNA_mat_black_2_bin.25,76.26,1.36,75,2816643,6558,427_1,220808_BK_F14_DNA_mat_black_1_bin.8,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jannaschia;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Jannaschia;s__
220808_BK_F14_DNA_mat_black_2_bin.26,89.23,0.43,16.67,2801664,13678,478_1,220816_LF_B4_DNA_brine_C_bin.6,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salibaculum;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Roseobacteraceae;g__Salibaculum;s__
220808_BK_F14_DNA_mat_black_2_bin.27,46.2,17.42,16.98,3357723,3201,NA,NA,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__;g__;s__,d__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.28,8.62,0,0,410929,3049,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.29,91.37,1.25,0,3771251,28738,477_1,220808_BK_F14_DNA_mat_black_2_bin.29,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__IMCC34051;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.3,42.27,4.64,5,1272189,3701,NA,NA,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteriqipengyuania_A;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__;s__
220808_BK_F14_DNA_mat_black_2_bin.30,45.91,11.92,0,3970175,3496,NA,NA,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__
220808_BK_F14_DNA_mat_black_2_bin.31,11.52,0,0,894622,2477,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.32,90.66,1.58,33.33,3399804,19175,488_1,220808_BK_F14_DNA_mat_black_2_bin.32,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Amorphaceae;g__Acuticoccus;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Amorphaceae;g__Acuticoccus;s__
220808_BK_F14_DNA_mat_black_2_bin.33,0,0,0,525292,3147,NA,NA,Unclassified Bacteria,Unclassified Bacteria
220808_BK_F14_DNA_mat_black_2_bin.35,79.79,1.52,60,1526109,6336,164_1,220808_BK_F13_DNA_brine_C_bin.4,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halorubrum;s__,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__
220808_BK_F14_DNA_mat_black_2_bin.37,70.23,0.82,0,2981924,6845,228_1,220808_BK_F14_DNA_mat_black_1_bin.44,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubrivirga;s__,d__Bacteria;p__Rhodothermaeota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubrivirga;s__
